dsm:port,did,sid,sensor,SN,x (Easting m),y (Northing m),z (MSL m),azimuth (deg),pitch (deg),roll (deg)
lconvm:/dev/ttyUSB8,33.0,1020,Power Monitor,,,,,,,
lconvt:/dev/ttyUSB0,34.0,150,CSAT3.15m,1124,591.0,-134.81,224.4,52.87,0.96,-1.3
lconvt:/dev/ttyUSB2,34.0,152,TRH.15m,,593.42,-133.02,224.45,,,
lconvt:/dev/ttyUSB1,34.0,200,CSAT3A+EC150 (EC100).20m,2031; 1277; 1313,,,,52.31,-1.44,-0.17
lconvt:/dev/ttyUSB3,34.0,202,TRH.20m,,593.5,-132.99,228.6,,,
lconvt:/dev/ttyUSB4,34.0,204,Nanobarometer.20m,122850,,,,,,
lconvt:/dev/gps_pty0,34.0,1000,GPS,,,,,,,
lconvt:/dev/ttyUSB8,34.0,1020,Power Monitor,,,,,,,
lconvt:/dev/ttyUSB5,34.0,0x8000,NR01.20m,NR2783,,,,,,
,,,,,,,,,,
p1:/dev/ttyUSB0,41.0,158,PTB220,50610003,,,,,,
p1:/dev/gps_pty0,41.0,1000,GPS,,,,,,,
p1:/dev/ttyUSB8,41.0,1020,Power Monitor,,,,,,,
,,,,,,,,,,
p2:/dev/ttyUSB0,42.0,158,PTB220,NCAR0001,,,,,,
p2:/dev/gps_pty0,42.0,1000,GPS,,,,,,,
p2:/dev/ttyUSB8,42.0,1020,Power Monitor,,,,,,,
,,,,,,,,,,
p3:/dev/ttyUSB0,43.0,158,PTB220,4110001,,,,,,
p3:/dev/gps_pty0,43.0,1000,GPS,,,,,,,
p3:/dev/ttyUSB8,43.0,1020,Power Monitor,,,,,,,
,,,,,,,,,,
p4:/dev/ttyUSB0,44.0,158,PTB220,50610001,,,,,,
p4:/dev/gps_pty0,44.0,1000,GPS,,,,,,,
p4:/dev/ttyUSB8,44.0,1020,Power Monitor,,,,,,,
,,,,,,,,,,
p5:/dev/ttyUSB0,45.0,158,PTB220,4110003,,,,,,
p5:/dev/gps_pty0,45.0,1000,GPS,,,,,,,
p5:/dev/ttyUSB8,45.0,1020,Power Monitor,,,,,,,
,,,,,,,,,,
p6:/dev/ttyUSB0,46.0,158,PTB220,4110004,,,,,,
p6:/dev/gps_pty0,46.0,1000,GPS,,,,,,,
p6:/dev/ttyUSB8,46.0,1020,Power Monitor,,,,,,,
